R,M,B,4s,6s,SR,sumpts_r,sumpts_4,sumpts_6,sumpts_50,sumpts_100,sumpts_sr,total
60,52,36,6,3,166.66,30,3,3,4,0,0,40
60,54,29,6,3,206.89,30,3,3,4,0,0,40
60,48,34,6,3,176.47,30,3,3,4,0,0,40
59,59,41,6,3,143.9,29.5,3,3,4,0,0,39.5
58,61,39,6,3,148.71,29,3,3,4,0,0,39
50,34,35,6,3,142.85,25,3,3,4,0,0,35
50,37,26,6,3,192.3,25,3,3,4,0,0,35
50,32,27,6,3,185.18,25,3,3,4,0,0,35
77,83,64,6,2,120.31,38.5,3,2,4,0,0,47.5
76,86,55,6,2,138.18,38,3,2,4,0,0,47
74,82,54,6,2,137.03,37,3,2,4,0,0,46
73,78,52,6,2,140.38,36.5,3,2,4,0,0,45.5
72,93,52,6,2,138.46,36,3,2,4,0,0,45
70,76,49,6,2,142.85,35,3,2,4,0,0,44
67,73,48,6,2,139.58,33.5,3,2,4,0,0,42.5
67,66,45,6,2,148.88,33.5,3,2,4,0,0,42.5
65,71,51,6,2,127.45,32.5,3,2,4,0,0,41.5
65,97,50,6,2,130,32.5,3,2,4,0,0,41.5
64,64,42,6,2,152.38,32,3,2,4,0,0,41
62,76,44,6,2,140.9,31,3,2,4,0,0,40
61,56,38,6,2,160.52,30.5,3,2,4,0,0,39.5
60,74,46,6,2,130.43,30,3,2,4,0,0,39
60,68,49,6,2,122.44,30,3,2,4,0,0,39
59,61,41,6,2,143.9,29.5,3,2,4,0,0,38.5
59,58,39,6,2,151.28,29.5,3,2,4,0,0,38.5
57,74,43,6,2,132.55,28.5,3,2,4,0,0,37.5
55,35,28,6,2,196.42,27.5,3,2,4,0,0,36.5
54,65,35,6,2,154.28,27,3,2,4,0,0,36
52,50,32,6,2,162.5,26,3,2,4,0,0,35
52,37,30,6,2,173.33,26,3,2,4,0,0,35
50,34,23,6,2,217.39,25,3,2,4,0,0,34
50,50,26,6,2,192.3,25,3,2,4,0,0,34
49,27,24,6,2,204.16,24.5,3,2,0,0,0,29.5
48,30,21,6,2,228.57,24,3,2,0,0,0,29
48,54,35,6,2,137.14,24,3,2,0,0,0,29
47,35,25,6,2,188,23.5,3,2,0,0,0,28.5
47,42,25,6,2,188,23.5,3,2,0,0,0,28.5
46,42,20,6,2,230,23,3,2,0,0,0,28
41,22,17,6,2,241.17,20.5,3,2,0,0,0,25.5
63,92,52,6,1,121.15,31.5,3,1,4,0,0,39.5
62,83,46,6,1,134.78,31,3,1,4,0,0,39
59,65,45,6,1,131.11,29.5,3,1,4,0,0,37.5
56,62,40,6,1,140,28,3,1,4,0,0,36
56,65,37,6,1,151.35,28,3,1,4,0,0,36
55,71,46,6,1,119.56,27.5,3,1,4,0,0,35.5
