,R,M,B,4s,6s,SR,sumpts_r,sumpts_4,sumpts_6,sumpts_50,sumpts_100,sumpts_sr,total,cluster_group
209,64.0,74.0,50,7,1,128.0,32.0,3.5,1,4,0,0,40.5,5.0
210,63.0,72.0,41,7,1,153.65,31.5,3.5,1,4,0,0,40.0,5.0
211,59.0,75.0,46,7,1,128.26,29.5,3.5,1,4,0,0,38.0,5.0
212,58.0,66.0,46,7,1,126.08,29.0,3.5,1,4,0,0,37.5,5.0
213,57.0,66.0,43,7,1,132.55,28.5,3.5,1,4,0,0,37.0,5.0
214,53.0,65.0,36,7,1,147.22,26.5,3.5,1,4,0,0,35.0,5.0
215,48.0,51.0,33,7,1,145.45,24.0,3.5,1,0,0,0,28.5,5.0
216,45.0,42.0,30,7,1,150.0,22.5,3.5,1,0,0,0,27.0,0.0
217,44.0,38.0,29,7,1,151.72,22.0,3.5,1,0,0,0,26.5,0.0
218,44.0,29.0,23,7,1,191.3,22.0,3.5,1,0,0,0,26.5,0.0
219,42.0,26.0,24,7,1,175.0,21.0,3.5,1,0,0,0,25.5,0.0
220,42.0,29.0,29,7,1,144.82,21.0,3.5,1,0,0,0,25.5,0.0
221,77.0,97.0,58,7,0,132.75,38.5,3.5,0,4,0,0,46.0,5.0
222,68.0,77.0,51,7,0,133.33,34.0,3.5,0,4,0,0,41.5,5.0
223,63.0,94.0,48,7,0,131.25,31.5,3.5,0,4,0,0,39.0,5.0
224,61.0,92.0,47,7,0,129.78,30.5,3.5,0,4,0,0,38.0,5.0
225,57.0,76.0,43,7,0,132.55,28.5,3.5,0,4,0,0,36.0,5.0
226,56.0,69.0,44,7,0,127.27,28.0,3.5,0,4,0,0,35.5,5.0
227,53.0,61.0,48,7,0,110.41,26.5,3.5,0,4,0,0,34.0,5.0
228,52.0,53.0,33,7,0,157.57,26.0,3.5,0,4,0,0,33.5,5.0
229,51.0,50.0,33,7,0,154.54,25.5,3.5,0,4,0,0,33.0,5.0
230,51.0,48.0,34,7,0,150.0,25.5,3.5,0,4,0,0,33.0,0.0
231,50.0,66.0,38,7,0,131.57,25.0,3.5,0,4,0,0,32.5,5.0
232,47.0,62.0,53,7,0,88.67,23.5,3.5,0,0,0,0,27.0,5.0
233,47.0,53.0,37,7,0,127.02,23.5,3.5,0,0,0,0,27.0,5.0
234,46.0,61.0,31,7,0,148.38,23.0,3.5,0,0,0,0,26.5,5.0
235,46.0,54.0,36,7,0,127.77,23.0,3.5,0,0,0,0,26.5,5.0
236,45.0,44.0,32,7,0,140.62,22.5,3.5,0,0,0,0,26.0,0.0
237,45.0,78.0,44,7,0,102.27,22.5,3.5,0,0,0,0,26.0,5.0
238,43.0,45.0,28,7,0,153.57,21.5,3.5,0,0,0,0,25.0,0.0
239,43.0,55.0,37,7,0,116.21,21.5,3.5,0,0,0,0,25.0,5.0
240,42.0,36.0,32,7,0,131.25,21.0,3.5,0,0,0,0,24.5,0.0
241,41.0,62.0,31,7,0,132.25,20.5,3.5,0,0,0,0,24.0,5.0
242,41.0,62.0,26,7,0,157.69,20.5,3.5,0,0,0,0,24.0,5.0
243,40.0,47.0,28,7,0,142.85,20.0,3.5,0,0,0,0,23.5,5.0
244,39.0,35.0,27,7,0,144.44,19.5,3.5,0,0,0,0,23.0,0.0
245,39.0,45.0,24,7,0,162.5,19.5,3.5,0,0,0,0,23.0,0.0
246,39.0,35.0,25,7,0,156.0,19.5,3.5,0,0,0,0,23.0,0.0
247,38.0,32.0,23,7,0,165.21,19.0,3.5,0,0,0,0,22.5,0.0
248,38.0,44.0,23,7,0,165.21,19.0,3.5,0,0,0,0,22.5,0.0
249,35.0,45.0,33,7,0,106.06,17.5,3.5,0,0,0,0,21.0,5.0
250,32.0,21.0,19,7,0,168.42,16.0,3.5,0,0,0,0,19.5,0.0
251,103.0,92.0,64,6,9,160.93,51.5,3.0,9,4,8,0,75.5,1.0
252,97.0,56.0,43,6,9,225.58,48.5,3.0,9,4,0,0,64.5,1.0
253,93.0,68.0,41,6,8,226.82,46.5,3.0,8,4,0,0,61.5,1.0
254,101.0,82.0,61,6,6,165.57,50.5,3.0,6,4,8,0,71.5,1.0
255,79.0,69.0,39,6,6,202.56,39.5,3.0,6,4,0,0,52.5,1.0
256,70.0,56.0,34,6,6,205.88,35.0,3.0,6,4,0,0,48.0,1.0
257,89.0,79.0,51,6,5,174.5,44.5,3.0,5,4,0,0,56.5,3.0
258,81.0,80.0,52,6,5,155.76,40.5,3.0,5,4,0,0,52.5,1.0
259,78.0,64.0,46,6,5,169.56,39.0,3.0,5,4,0,0,51.0,1.0
260,68.0,43.0,28,6,5,242.85,34.0,3.0,5,4,0,0,46.0,0.0
261,83.0,68.0,46,6,4,180.43,41.5,3.0,4,4,0,0,52.5,3.0
262,82.0,99.0,50,6,4,164.0,41.0,3.0,4,4,0,0,52.0,3.0
263,81.0,93.0,54,6,4,150.0,40.5,3.0,4,4,0,0,51.5,3.0
264,79.0,91.0,51,6,4,154.9,39.5,3.0,4,4,0,0,50.5,3.0
265,76.0,70.0,45,6,4,168.88,38.0,3.0,4,4,0,0,49.0,5.0
266,73.0,75.0,47,6,4,155.31,36.5,3.0,4,4,0,0,47.5,5.0
267,71.0,65.0,42,6,4,169.04,35.5,3.0,4,4,0,0,46.5,5.0
268,69.0,58.0,39,6,4,176.92,34.5,3.0,4,4,0,0,45.5,0.0
269,68.0,53.0,42,6,4,161.9,34.0,3.0,4,4,0,0,45.0,0.0
270,64.0,39.0,33,6,4,193.93,32.0,3.0,4,4,0,0,43.0,0.0
271,64.0,47.0,30,6,4,213.33,32.0,3.0,4,4,0,0,43.0,0.0
272,62.0,47.0,40,6,4,155.0,31.0,3.0,4,4,0,0,42.0,0.0
273,58.0,47.0,31,6,4,187.09,29.0,3.0,4,4,0,0,40.0,0.0
274,57.0,40.0,27,6,4,211.11,28.5,3.0,4,4,0,0,39.5,0.0
275,56.0,38.0,29,6,4,193.1,28.0,3.0,4,4,0,0,39.0,0.0
276,54.0,25.0,17,6,4,317.64,27.0,3.0,4,4,0,0,38.0,0.0
277,66.0,67.0,42,6,3,157.14,33.0,3.0,3,4,0,0,43.0,5.0
278,64.0,71.0,53,6,3,120.75,32.0,3.0,3,4,0,0,42.0,5.0
279,64.0,65.0,44,6,3,145.45,32.0,3.0,3,4,0,0,42.0,5.0
280,63.0,50.0,37,6,3,170.27,31.5,3.0,3,4,0,0,41.5,0.0
281,62.0,50.0,43,6,3,144.18,31.0,3.0,3,4,0,0,41.0,0.0
282,61.0,52.0,33,6,3,184.84,30.5,3.0,3,4,0,0,40.5,0.0
283,60.0,52.0,36,6,3,166.66,30.0,3.0,3,4,0,0,40.0,0.0
284,60.0,54.0,29,6,3,206.89,30.0,3.0,3,4,0,0,40.0,0.0
285,60.0,48.0,34,6,3,176.47,30.0,3.0,3,4,0,0,40.0,0.0
286,59.0,59.0,41,6,3,143.9,29.5,3.0,3,4,0,0,39.5,0.0
287,58.0,61.0,39,6,3,148.71,29.0,3.0,3,4,0,0,39.0,5.0
288,50.0,34.0,35,6,3,142.85,25.0,3.0,3,4,0,0,35.0,0.0
289,50.0,37.0,26,6,3,192.3,25.0,3.0,3,4,0,0,35.0,0.0
290,50.0,32.0,27,6,3,185.18,25.0,3.0,3,4,0,0,35.0,0.0
291,77.0,83.0,64,6,2,120.31,38.5,3.0,2,4,0,0,47.5,5.0
292,76.0,86.0,55,6,2,138.18,38.0,3.0,2,4,0,0,47.0,5.0
293,74.0,82.0,54,6,2,137.03,37.0,3.0,2,4,0,0,46.0,5.0
294,73.0,78.0,52,6,2,140.38,36.5,3.0,2,4,0,0,45.5,5.0
295,72.0,93.0,52,6,2,138.46,36.0,3.0,2,4,0,0,45.0,5.0
296,70.0,76.0,49,6,2,142.85,35.0,3.0,2,4,0,0,44.0,5.0
297,67.0,73.0,48,6,2,139.58,33.5,3.0,2,4,0,0,42.5,5.0
298,67.0,66.0,45,6,2,148.88,33.5,3.0,2,4,0,0,42.5,5.0
299,65.0,71.0,51,6,2,127.45,32.5,3.0,2,4,0,0,41.5,5.0
300,65.0,97.0,50,6,2,130.0,32.5,3.0,2,4,0,0,41.5,5.0
301,64.0,64.0,42,6,2,152.38,32.0,3.0,2,4,0,0,41.0,5.0
302,62.0,76.0,44,6,2,140.9,31.0,3.0,2,4,0,0,40.0,5.0
303,61.0,56.0,38,6,2,160.52,30.5,3.0,2,4,0,0,39.5,0.0
304,60.0,74.0,46,6,2,130.43,30.0,3.0,2,4,0,0,39.0,5.0
305,60.0,68.0,49,6,2,122.44,30.0,3.0,2,4,0,0,39.0,5.0
306,59.0,61.0,41,6,2,143.9,29.5,3.0,2,4,0,0,38.5,5.0
307,59.0,58.0,39,6,2,151.28,29.5,3.0,2,4,0,0,38.5,0.0
308,57.0,74.0,43,6,2,132.55,28.5,3.0,2,4,0,0,37.5,5.0
309,55.0,35.0,28,6,2,196.42,27.5,3.0,2,4,0,0,36.5,0.0
310,54.0,65.0,35,6,2,154.28,27.0,3.0,2,4,0,0,36.0,5.0
311,52.0,50.0,32,6,2,162.5,26.0,3.0,2,4,0,0,35.0,0.0
