,BATSMEN,R,M,B,4s,6s,SR
451,MandeepSingh,27,41,20,4,0,135.0
452,KDKarthik?Çá,27,31,18,3,1,150.0
453,SNKhan,45,38,21,6,1,214.28
454,DWiese,11,14,8,2,0,137.5
455,HVPatel,6,6,2,0,1,300.0
456,DRSmith,0,1,1,0,0,0
457,BBMcCullum,32,29,12,3,3,266.66
458,SKRaina,8,16,10,2,0,80
459,FduPlessis,20,14,11,5,0,181.81
460,DJBravo,30,52,32,4,0,93.75
461,MSDhoni(c)?Çá,1,5,4,0,0,25
462,RAJadeja,24,53,30,1,1,80
463,PNegi,27,12,13,4,1,207.69
464,MMSharma,0,4,1,0,0,0
465,ANehra,1,6,4,0,0,25
466,RGMore,2,3,2,0,0,100
468,RVUthappa?Çá,80,100,58,7,1,137.93
469,GGambhir(c),19,23,16,0,2,118.75
470,MKPandey,3,18,10,0,0,30
471,SAYadav,2,5,3,0,0,66.66
472,ADRussell,55,51,32,4,4,171.87
473,VSehwag,1,2,2,0,0,50
474,MVohra,1,15,7,0,0,14.28
475,SEMarsh,5,5,4,1,0,125
476,WPSaha?Çá,3,10,8,0,0,37.5
477,DAMiller,42,78,41,4,1,102.43
478,GJBailey(c),18,20,16,3,0,112.5
479,NLTCPerera,3,10,7,0,0,42.85
480,ARPatel,22,39,26,0,1,84.61
481,SNThakur,7,7,6,1,0,116.66
482,AnureetSingh,8,3,3,0,1,266.66
484,MAAgarwal,52,60,40,6,1,130
485,SSIyer,54,54,40,4,3,135
486,SSTiwary,5,3,4,1,0,125
487,LMPSimmons,38,47,31,4,1,122.58
488,PAPatel?Çá,23,24,14,5,0,164.28
489,UBTChand,13,31,14,1,0,92.85
490,RGSharma(c),27,27,21,2,1,128.57
491,ATRayudu,53,50,27,4,3,196.29
492,KAPollard,24,27,14,2,1,171.42
493,HarbhajanSingh,0,1,0,0,0,-
495,AMRahane,16,17,12,2,0,133.33
496,SRWatson(c),28,41,23,2,2,121.73
497,SVSamson?Çá,76,72,46,7,3,165.21
498,SPDSmith,23,31,20,2,0,115
499,KKNair,7,18,6,1,0,116.66
500,STRBinny,9,18,6,1,0,150
501,DJHooda,1,2,2,0,0,50
502,TGSouthee,6,5,5,0,0,120
503,JTheron,1,1,1,0,0,100
504,RVUthappa?Çá,23,35,21,3,0,109.52
505,GGambhir(c),12,21,8,2,0,150
506,ADRussell,45,24,17,5,3,264.7
507,RNtenDoeschate,12,13,7,1,1,171.42
508,YKPathan,11,10,6,0,1,183.33
