,BATSMEN,R,M,B,4s,6s,SR,sumpts_r,sumpts_4,sumpts_6,sumpts_50,sumpts_100,sumpts_sr,total
4970,KHPandya,37,60,30,3,1,123.33,18.5,1.5,1,0,0,0,21
4971,HHPandya,9,8,4,0,1,225,4.5,0,1,0,0,0,5.5
4972,AMRahane,0,2,3,0,0,0,0,0,0,0,0,-3,-3
4973,RATripathi,33,27,17,3,2,194.11,16.5,1.5,2,0,0,0,20
4974,SPDSmith,43,42,28,6,1,153.57,21.5,3,1,0,0,0,25.5
4975,BAStokes,25,28,18,2,1,138.88,12.5,1,1,0,0,0,14.5
4976,MKTiwary,31,47,27,2,1,114.81,15.5,1,1,0,0,0,17.5
4977,MSDhoni,5,10,8,0,0,62.5,2.5,0,0,0,0,-1,1.5
4978,AnkitSharma,25,23,15,2,1,166.66,12.5,1,1,0,0,0,14.5
4979,SNThakur,0,4,1,0,0,0,0,0,0,0,0,-3,-3
4980,LHFerguson,1,5,1,0,0,100,0.5,0,0,0,0,0,0.5
4981,RDChahar,3,2,2,0,0,150,1.5,0,0,0,0,0,1.5
4982,DRSmith,47,39,30,8,1,156.66,23.5,4,1,0,0,0,28.5
4983,BBMcCullum,49,51,32,5,3,153.12,24.5,2.5,3,0,0,0,30
4984,SKRaina,35,48,22,4,1,159.09,17.5,2,1,0,0,0,20.5
4985,KDKarthik,3,7,5,0,0,60,1.5,0,0,0,0,-1,0.5
4986,AJFinch,33,28,19,3,2,173.68,16.5,1.5,2,0,0,0,20
4987,SPNarine,6,10,9,1,0,66.66,3,0.5,0,0,0,-1,2.5
4988,GGambhir,15,28,16,2,0,93.75,7.5,1,0,0,0,0,8.5
4989,RVUthappa,68,59,39,5,4,174.35,34,2.5,4,4,0,0,44.5
4990,MKPandey,46,59,35,3,2,131.42,23,1.5,2,0,0,0,26.5
4991,YKPathan,21,30,15,1,1,140,10.5,0.5,1,0,0,0,12
4992,SAYadav,4,5,3,1,0,133.33,2,0.5,0,0,0,0,2.5
4993,CdeGrandhomme,0,3,2,0,0,0,0,0,0,0,0,-3,-3
4994,CRWoakes,1,2,1,0,0,100,0.5,0,0,0,0,0,0.5
4995,DAWarner,26,42,30,4,0,86.66,13,2,0,0,0,0,15
4996,SDhawan,23,28,22,4,0,104.54,11.5,2,0,0,0,0,13.5
4997,MCHenriques,13,19,10,2,0,130,6.5,1,0,0,0,0,7.5
4998,YuvrajSingh,26,27,16,2,2,162.5,13,1,2,0,0,0,16
4999,DJHooda,13,12,7,1,1,185.71,6.5,0.5,1,0,0,0,8
5000,BCJCutting,15,21,10,1,1,150,7.5,0.5,1,0,0,0,9
5001,NVOjha,11,25,11,0,0,100,5.5,0,0,0,0,0,5.5
