,POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,NEWPOS
302,3,Subramaniam  Badrinath,16,13,6,396,71,56.57,313,126.51,0,5,38,9,1.0
303,4,James  Franklin,8,5,3,107,45,53.5,78,137.17,0,0,10,2,1.0
304,5,Ryan  ten Doeschate,6,3,1,107,70,53.5,73,146.57,0,1,9,5,1.0
305,6,Manoj  Tiwary,15,14,7,359,61,51.28,325,110.46,0,1,26,14,1.0
306,7,Virat  Kohli,16,16,4,557,71,46.41,460,121.08,0,4,55,16,1.0
307,8,Johan  Botha,10,9,4,230,67,46.0,198,116.16,0,1,20,2,1.0
308,9,MS  Dhoni,16,13,4,392,70,43.55,247,158.7,0,2,25,23,1.0
309,10,Sachin  Tendulkar,16,16,3,553,100,42.53,488,113.31,1,2,67,5,1.0
310,11,Shaun  Marsh,14,13,1,504,95,42.0,344,146.51,0,4,52,20,1.0
311,12,Michael  Hussey,14,14,2,492,83,41.0,414,118.84,0,4,53,6,1.0
312,13,James  Hopes,10,8,3,196,55,39.2,158,124.05,0,2,22,3,1.0
313,14,Virender  Sehwag,11,11,0,424,119,38.54,240,176.66,1,2,51,18,1.0
314,15,Stuart  Binny,6,2,1,37,30,37.0,31,119.35,0,0,2,1,1.0
315,16,Ross  Taylor,12,11,6,181,47,36.2,152,119.07,0,0,11,7,1.0
316,17,Brad  Hodge,14,14,6,285,51,35.62,236,120.76,0,1,26,9,1.0
317,18,Paul  Valthaty,14,14,1,463,120,35.61,338,136.98,1,2,56,20,1.0
318,19,Jacques  Kallis,15,14,2,424,80,35.33,378,112.16,0,4,46,6,1.0
319,20,AB  de Villiers,16,13,4,312,65,34.66,243,128.39,0,2,21,14,1.0
320,21,Gautam  Gambhir,15,15,4,378,75,34.36,317,119.24,0,2,44,3,1.0
321,22,Harbhajan  Singh,15,8,5,103,30,34.33,71,145.07,0,0,9,6,1.0
322,23,Yuvraj  Singh,14,13,3,343,66,34.3,261,131.41,0,2,24,18,1.0
323,24,Rohit  Sharma,16,14,3,372,87,33.81,297,125.25,0,3,32,13,1.0
324,25,Andrew  Symonds,11,9,5,135,44,33.75,138,97.82,0,0,9,3,1.0
325,26,Shikhar  Dhawan,14,14,2,400,95,33.33,310,129.03,0,2,47,7,1.0
326,27,Shane  Watson,11,11,1,330,89,33.0,253,130.43,0,1,31,17,1.0
327,28,Ravindra  Jadeja,14,12,3,283,47,31.44,228,124.12,0,0,20,14,1.0
328,29,Suresh  Raina,16,16,2,438,73,31.28,325,134.76,0,4,36,17,1.0
329,30,Rahul  Dravid,12,12,1,343,66,31.18,314,109.23,0,1,45,2,1.0
330,31,Ryan  McLaren,6,4,1,90,51,30.0,96,93.75,0,1,7,1,1.0
331,32,Yusuf  Pathan,15,11,1,283,47,28.3,201,140.79,0,0,24,13,1.0
332,33,Tillakaratne  Dilshan,10,10,2,226,59,28.25,180,125.55,0,2,33,3,1.0
333,34,Ambati  Rayudu,16,16,2,395,63,28.21,350,112.85,0,4,44,9,2.0
334,35,Venugopal  Rao,14,14,2,336,60,28.0,280,120.0,0,1,30,13,2.0
335,36,Kumar  Sangakkara,13,13,0,358,65,27.53,293,122.18,0,1,44,5,2.0
336,37,Brendon  McCullum,13,13,0,357,81,27.46,275,129.81,0,1,35,16,2.0
337,38,Adam  Gilchrist,14,14,0,383,106,27.35,295,129.83,1,2,41,18,2.0
338,39,Manish  Pandey,10,9,0,246,59,27.33,227,108.37,0,1,28,6,2.0
339,40,Murali  Vijay,16,16,0,434,95,27.12,339,128.02,0,3,34,20,2.0
340,41,Robin  Uthappa,14,13,3,264,45,26.4,209,126.31,0,0,27,10,2.0
341,42,Dwaraka  Ravi Teja,12,9,2,183,60,26.14,144,127.08,0,1,17,4,2.0
342,43,Cameron  White,6,6,2,104,31,26.0,109,95.41,0,0,6,2,2.0
343,44,Nathan  McCullum,2,2,1,26,15,26.0,22,118.18,0,0,0,1,2.0
344,45,Bharat  Chipli,14,13,5,207,61,25.87,170,121.76,0,1,21,4,2.0
345,46,Dinesh  Karthik,14,13,2,282,69,25.63,220,128.18,0,1,32,7,2.0
346,47,Mitchell  Marsh,5,3,1,50,37,25.0,49,102.04,0,0,2,3,2.0
347,48,Sourav  Ganguly,4,3,1,50,32,25.0,59,84.74,0,0,3,2,2.0
348,49,David  Warner,13,13,0,324,77,24.92,276,117.39,0,3,34,11,2.0
349,50,Sunny  Sohal,11,10,0,249,62,24.9,191,130.36,0,2,25,10,2.0
350,51,Callum  Ferguson,5,4,2,48,16,24.0,54,88.88,0,0,6,0,2.0
351,52,Saurabh  Tiwary,16,13,5,187,42,23.37,188,99.46,0,0,13,5,2.0
352,53,Mahela  Jayawardene,13,13,0,299,76,23.0,257,116.34,0,3,35,5,2.0
353,54,Albie  Morkel,15,13,7,138,30,23.0,102,135.29,0,0,8,8,2.0
354,55,Daniel  Vettori,13,4,3,23,18,23.0,28,82.14,0,0,1,1,2.0
355,56,Bipul  Sharma,4,3,2,23,16,23.0,18,127.77,0,0,1,0,2.0
356,57,Jesse  Ryder,13,13,0,292,60,22.46,197,148.22,0,2,37,11,2.0
357,58,Srikkanth  Anirudha,9,5,1,83,64,20.75,74,112.16,0,1,6,3,2.0
358,59,JP  Duminy,10,10,0,205,55,20.5,174,117.81,0,1,9,8,2.0
359,60,Parthiv  Patel,14,13,3,202,37,20.2,183,110.38,0,0,25,2,2.0
360,61,Mayank  Agarwal,8,7,0,141,41,20.14,120,117.5,0,0,16,4,2.0
361,62,Ashok  Menaria,13,10,1,180,34,20.0,152,118.42,0,0,10,10,2.0
362,63,Ajinkya  Rahane,10,7,1,120,52,20.0,98,122.44,0,1,12,2,2.0
363,64,Aiden  Blizzard,6,6,0,120,51,20.0,87,137.93,0,1,21,2,2.0
364,65,Abhishek  Raut,7,4,1,60,25,20.0,58,103.44,0,0,5,1,2.0
365,66,Morne  Morkel,11,5,3,40,16,20.0,25,160.0,0,0,3,2,2.0
366,67,Y  Gnaneswara Rao,2,1,0,19,19,19.0,17,111.76,0,0,3,0,3.0
367,68,Irfan  Pathan,14,12,4,150,44,18.75,138,108.69,0,0,12,6,3.0
368,69,Michael  Klinger,4,4,0,73,29,18.25,77,94.8,0,0,9,0,3.0
369,70,Sachin  Rana,2,1,0,18,18,18.0,16,112.5,0,0,2,0,3.0
370,71,Brad  Haddin,1,1,0,18,18,18.0,11,163.63,0,0,2,1,3.0
371,72,Dan  Christian,14,13,2,190,30,17.27,159,119.49,0,0,9,7,3.0
372,73,Amit  Mishra,14,9,5,68,25,17.0,49,138.77,0,0,9,1,3.0
373,74,Mohnish  Mishra,6,5,1,67,37,16.75,60,111.66,0,0,5,2,3.0
374,75,Piyush  Chawla,12,6,3,48,15,16.0,55,87.27,0,0,2,2,3.0
375,76,Dishant  Yagnik,7,4,3,16,10,16.0,22,72.72,0,0,1,0,3.0
376,77,Yogesh  Nagar,11,10,3,111,23,15.85,100,111.0,0,0,6,6,3.0
377,78,Davy  Jacobs,6,6,0,92,32,15.33,88,104.54,0,0,10,4,3.0
378,79,Eoin  Morgan,12,9,0,137,66,15.22,117,117.09,0,1,17,3,3.0
379,80,Travis  Birt,5,5,0,75,27,15.0,58,129.31,0,0,9,2,3.0
380,81,VVS  Laxman,3,3,0,44,36,14.66,42,104.76,0,0,3,2,3.0
381,82,Kieron  Pollard,16,13,3,146,28,14.6,133,109.77,0,0,12,6,3.0
382,83,Shakib  Al Hasan,7,3,1,29,26,14.5,22,131.81,0,0,4,0,3.0
383,84,Manvinder  Bisla,5,5,0,72,27,14.4,89,80.89,0,0,8,0,3.0
384,85,Ishank  Jaggi,2,2,0,28,25,14.0,37,75.67,0,0,3,0,3.0
385,86,Harpreet  Singh,2,2,1,14,13,14.0,20,70.0,0,0,0,0,3.0
386,87,Laxmi  Ratan Shukla,1,1,0,14,14,14.0,10,140.0,0,0,2,0,3.0
387,88,Mohammad  Kaif,8,4,1,41,15,13.66,33,124.24,0,0,5,0,3.0
388,89,Owais  Shah,3,2,0,26,23,13.0,15,173.33,0,0,1,2,3.0
389,90,Balachandra  Akhil,1,1,0,13,13,13.0,9,144.44,0,0,0,1,3.0
390,91,Luke  Pomersbach,5,4,0,51,29,12.75,39,130.76,0,0,4,2,3.0
391,92,Rajagopal  Sathish,9,3,1,25,18,12.5,34,73.52,0,0,1,0,3.0
392,93,Wayne  Parnell,8,5,2,37,16,12.33,39,94.87,0,0,2,1,3.0
393,94,Naman  Ojha,14,14,1,160,29,12.3,161,99.37,0,0,11,11,3.0
394,95,Amit  Paunikar,4,4,0,49,20,12.25,57,85.96,0,0,9,0,3.0
395,96,Murali  Kartik,6,3,2,12,11,12.0,15,80.0,0,0,1,0,3.0
396,97,Mandeep  Singh,6,5,1,47,15,11.75,41,114.63,0,0,4,1,3.0
397,98,Thisara  Perera,4,2,0,23,22,11.5,27,85.18,0,0,4,0,3.0
398,99,Mithun  Manhas,10,10,0,114,35,11.4,123,92.68,0,0,8,4,3.0
399,100,Cheteshwar  Pujara,7,3,0,34,25,11.33,31,109.67,0,0,4,0,3.0
400,1,JP  Duminy,9,9,6,244,74,81.33,190,128.42,0,2,13,11,1.0
401,2,Chris  Gayle,15,14,2,733,128,61.08,456,160.74,1,7,46,59,1.0
402,3,Kevin  Pietersen,8,8,3,305,103,61.0,207,147.34,1,1,22,20,1.0
403,4,Dwayne  Bravo,19,16,8,371,48,46.37,264,140.53,0,0,20,20,1.0
404,5,Cameron  White,13,13,2,479,78,43.54,320,149.68,0,5,41,20,1.0
405,6,Shane  Watson,7,7,1,255,90,42.5,168,151.78,0,2,26,14,1.0
406,7,Debabrata  Das,15,10,7,126,35,42.0,93,135.48,0,0,9,6,1.0
407,8,Shikhar  Dhawan,15,15,1,569,84,40.64,439,129.61,0,5,58,18,1.0
408,9,Herschelle  Gibbs,3,3,1,81,66,40.5,88,92.04,0,1,8,2,1.0
409,10,Steve  Smith,15,14,5,362,47,40.22,267,135.58,0,0,24,14,1.0
410,11,Ajinkya  Rahane,16,16,2,560,103,40.0,433,129.33,1,3,73,10,1.0
411,12,AB  de Villiers,16,13,5,319,64,39.87,198,161.11,0,3,26,15,1.0
412,13,Gautam  Gambhir,17,17,2,590,93,39.33,411,143.55,0,6,64,17,1.0
413,14,Dwayne  Smith,7,6,2,157,87,39.25,98,160.2,0,1,18,7,1.0
414,15,Owais  Shah,13,13,4,340,76,37.77,256,132.81,0,3,24,16,1.0
415,16,Ambati  Rayudu,17,15,6,333,81,37.0,252,132.14,0,2,21,14,1.0
416,17,David  Warner,8,8,1,256,109,36.57,156,164.1,1,1,28,14,1.0
417,18,Tillakaratne  Dilshan,10,9,1,285,76,35.62,261,109.19,0,3,33,5,1.0
418,19,Adam  Gilchrist,7,7,2,172,64,34.4,143,120.27,0,1,21,4,1.0
419,20,Faf  du Plessis,13,12,0,398,73,33.16,304,130.92,0,3,29,17,1.0
420,21,Virender  Sehwag,16,16,1,495,87,33.0,307,161.23,0,5,57,19,1.0
421,22,David  Hussey,16,15,3,396,68,33.0,305,129.83,0,2,28,17,1.0
422,23,David  Miller,6,6,3,98,34,32.66,75,130.66,0,0,6,4,1.0
