,POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,NEWPOS
538,39,Virender  Sehwag,13,13,1,295,95,24.58,233,126.6,0,1,41,6,2.0
539,40,Angelo  Mathews,11,10,3,172,40,24.57,139,123.74,0,0,5,10,2.0
540,41,Adam  Gilchrist,13,13,1,294,85,24.5,229,128.38,0,1,41,6,2.0
541,42,David  Hussey,12,11,1,235,41,23.5,209,112.44,0,0,20,6,2.0
542,43,Wriddhiman  Saha,3,3,0,70,39,23.33,56,125.0,0,0,6,4,2.0
543,44,Thisara  Perera,16,14,4,233,40,23.3,163,142.94,0,0,12,14,2.0
544,45,Cheteshwar  Pujara,4,4,0,92,51,23.0,99,92.92,0,1,14,0,2.0
545,46,Sumit  Narwal,2,1,0,23,23,23.0,15,153.33,0,0,4,0,2.0
546,47,Manish  Pandey,7,7,1,136,66,22.66,137,99.27,0,1,11,3,2.0
547,48,Parthiv  Patel,13,13,0,294,61,22.61,255,115.29,0,1,37,4,2.0
548,49,Murali  Vijay,15,15,1,312,55,22.28,286,109.09,0,2,27,8,2.0
549,50,Sachin  Tendulkar,14,14,1,287,54,22.07,231,124.24,0,1,38,5,2.0
550,51,Mahela  Jayawardene,15,15,0,331,66,22.06,313,105.75,0,2,39,6,2.0
551,52,CM  Gautam,3,3,1,44,30,22.0,34,129.41,0,0,4,1,2.0
552,53,Rajagopal  Sathish,9,8,3,109,27,21.8,77,141.55,0,0,9,5,2.0
553,54,Kedar  Jadhav,12,10,3,152,31,21.71,124,122.58,0,0,8,5,2.0
554,55,Karn  Sharma,13,7,3,85,39,21.25,86,98.83,0,0,6,2,2.0
555,56,Luke  Wright,6,6,1,106,44,21.2,60,176.66,0,0,16,3,2.0
556,57,Brett  Lee,3,2,1,21,16,21.0,12,175.0,0,0,1,2,2.0
557,58,Ashish  Reddy,12,10,4,125,36,20.83,89,140.44,0,0,8,5,2.0
558,59,Jacques  Kallis,16,16,1,311,41,20.73,322,96.58,0,0,35,3,2.0
559,60,Manan  Vohra,12,10,2,161,43,20.12,117,137.6,0,0,22,2,2.0
560,61,Mandeep  Singh,16,14,1,260,77,20.0,223,116.59,0,1,36,0,2.0
561,62,Mitchell  Marsh,9,8,1,140,38,20.0,106,132.07,0,0,6,10,2.0
562,63,Yuvraj  Singh,13,13,1,238,34,19.83,190,125.26,0,0,14,15,2.0
563,64,Manvinder  Bisla,14,14,1,255,92,19.61,236,108.05,0,2,36,6,2.0
564,65,Azhar  Mahmood,11,10,0,196,80,19.6,154,127.27,0,2,22,5,2.0
565,66,Harbhajan  Singh,19,14,8,116,25,19.33,79,146.83,0,0,12,5,2.0
566,67,Abhinav  Mukund,1,1,0,19,19,19.0,21,90.47,0,0,1,0,3.0
567,68,Ambati  Rayudu,19,17,3,265,37,18.92,231,114.71,0,0,22,4,3.0
568,69,Manoj  Tiwary,10,9,1,146,33,18.25,140,104.28,0,0,12,1,3.0
569,70,Glenn  Maxwell,3,3,1,36,23,18.0,27,133.33,0,0,1,4,3.0
570,71,Manpreet  Juneja,7,7,0,125,49,17.85,128,97.65,0,0,11,1,3.0
571,72,Irfan  Pathan,15,13,5,142,24,17.75,152,93.42,0,0,9,3,3.0
572,73,Subramaniam  Badrinath,18,8,1,124,34,17.71,121,102.47,0,0,11,0,3.0
573,74,Unmukt  Chand,9,9,0,158,41,17.55,158,100.0,0,0,17,4,3.0
574,75,Cameron  White,13,13,1,209,52,17.41,191,109.42,0,1,18,7,3.0
575,76,Hanuma  Vihari,17,17,3,241,46,17.21,278,86.69,0,0,17,1,3.0
576,77,Kane  Richardson,3,2,0,34,26,17.0,36,94.44,0,0,2,1,3.0
