,Unnamed: 0,Unnamed: 0.1,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB,sumpts_w,sumpts_4w,sumpts_5w,sumpts_econ,sumpts_maid,totalpoints
493,493,3,Shakib Al Hasan,3.0,0,22,2,7.33,9,0,2,1,0,20,0,0,0,0,20
494,494,4,RN ten Doeschate,1.0,0,8,0,8.0,3,0,1,0,0,0,0,0,0,0,0
495,495,5,PP Chawla,4.0,0,24,1,6.0,10,3,0,0,0,10,0,0,0,0,10
496,496,0,B Kumar,3.4,0,37,0,10.09,8,4,2,0,0,0,0,0,-2,0,-2
497,497,1,DW Steyn,4.0,0,24,1,6.0,10,1,1,0,0,10,0,0,0,0,10
498,498,2,KV Sharma,4.0,0,19,1,4.75,9,1,0,0,0,10,0,0,2,0,12
499,499,3,DJG Sammy,1.0,0,7,0,7.0,2,1,0,0,0,0,0,0,0,0,0
500,500,4,A Mishra,4.0,0,38,0,9.5,9,4,2,0,0,0,0,0,-1,0,-1
501,501,5,IK Pathan,3.0,0,20,0,6.66,4,2,0,0,0,0,0,0,0,0,0
502,502,0,Ankit Sharma,4.0,0,23,2,5.75,10,0,1,0,0,20,0,0,1,0,21
503,503,1,DS Kulkarni,4.0,0,27,0,6.75,10,2,1,1,0,0,0,0,0,0,0
504,504,2,JP Faulkner,4.0,0,47,0,11.75,9,5,3,1,0,0,0,0,-3,0,-3
505,505,3,KK Cooper,3.0,0,27,0,9.0,7,1,2,0,1,0,0,0,-1,0,-1
506,506,4,STR Binny,1.0,0,12,0,12.0,1,2,0,0,0,0,0,0,-3,0,-3
507,507,5,R Bhatia,4.0,0,39,0,9.75,4,2,2,0,0,0,0,0,-1,0,-1
508,508,0,JJ Bumrah,3.0,0,23,0,7.66,6,1,1,2,0,0,0,0,0,0,0
509,509,1,K Santokie,4.0,0,50,2,12.5,7,2,4,3,0,20,0,0,-3,0,17
510,510,2,PP Ojha,4.0,0,30,2,7.5,9,2,1,0,0,20,0,0,0,0,20
511,511,3,KA Pollard,1.0,0,11,0,11.0,3,1,1,0,0,0,0,0,-3,0,-3
512,512,4,Harbhajan Singh,4.0,0,13,2,3.25,17,1,0,1,0,20,0,0,3,0,23
513,513,5,S Gopal,4.0,0,25,2,6.25,9,0,1,1,0,20,0,0,0,0,20
514,514,0,Sandeep Sharma,4.0,0,35,3,8.75,11,3,2,3,0,30,0,0,0,0,30
515,515,1,BE Hendricks,4.0,0,36,3,9.0,10,4,1,0,0,30,0,0,-1,0,29
516,516,2,AR Patel,4.0,1,18,1,4.5,12,1,0,1,0,10,0,0,2,4,16
517,517,3,R Dhawan,4.0,0,42,0,10.5,6,6,1,0,0,0,0,0,-2,0,-2
518,518,4,Shivam Sharma,4.0,0,32,0,8.0,5,2,1,0,0,0,0,0,0,0,0
519,519,0,WD Parnell,3.4,0,42,0,11.45,9,6,1,3,0,0,0,0,-3,0,-3
520,520,1,Mohammed Shami,4.0,0,39,1,9.75,13,5,2,3,0,10,0,0,-1,0,9
521,521,2,JD Unadkat,4.0,0,31,0,7.75,10,1,1,1,0,0,0,0,0,0,0
522,522,3,Imran Tahir,4.0,0,22,3,5.5,12,0,1,2,0,30,0,0,1,0,31
523,523,4,JP Duminy,4.0,0,27,2,6.75,7,1,1,2,0,20,0,0,0,0,20
524,524,0,B Kumar,4.0,0,27,2,6.75,10,4,0,0,0,20,0,0,0,0,20
525,525,1,DW Steyn,4.0,0,23,0,5.75,9,1,0,0,0,0,0,0,1,0,1
526,526,2,Parvez Rasool,4.0,0,26,1,6.5,9,1,1,2,0,10,0,0,0,0,10
527,527,3,KV Sharma,3.0,0,27,1,9.0,9,2,2,0,0,10,0,0,-1,0,9
528,528,4,Y Venugopal Rao,1.0,0,7,0,7.0,2,1,0,0,0,0,0,0,0,0,0
529,529,5,IK Pathan,3.0,0,28,1,9.33,7,4,1,0,0,10,0,0,-1,0,9
530,530,6,DJG Sammy,1.0,0,19,0,19.0,0,0,2,1,0,0,0,0,-3,0,-3
531,531,0,M Muralitharan,4.0,0,26,0,6.5,13,3,1,0,0,0,0,0,0,0,0
532,532,1,MA Starc,3.4,0,31,0,8.45,7,4,0,1,0,0,0,0,0,0,0
533,533,2,VR Aaron,4.0,0,36,2,9.0,11,2,3,1,0,20,0,0,-1,0,19
534,534,3,AN Ahmed,2.2,0,22,0,9.42,4,2,1,0,0,0,0,0,-1,0,-1
535,535,4,YS Chahal,4.0,0,32,0,8.0,9,0,3,0,0,0,0,0,0,0,0
536,536,5,Yuvraj Singh,1.4,0,10,0,6.0,3,0,0,1,0,0,0,0,0,0,0
537,537,0,Shakib Al Hasan,4.0,0,30,0,7.5,9,3,1,1,0,0,0,0,0,0,0
538,538,1,PJ Cummins,4.0,1,29,1,7.25,12,2,2,0,0,10,0,0,0,4,14
539,539,2,UT Yadav,4.0,0,29,0,7.25,7,1,1,1,1,0,0,0,0,0,0
540,540,3,SP Narine,4.0,0,24,1,6.0,11,0,2,0,0,10,0,0,0,0,10
541,541,4,PP Chawla,4.0,0,42,1,10.5,5,2,3,0,0,10,0,0,-2,0,8
542,542,0,BW Hilfenhaus,3.0,0,38,0,12.66,4,5,1,1,0,0,0,0,-3,0,-3
543,543,1,IC Pandey,4.0,0,31,1,7.75,9,5,0,0,0,10,0,0,0,0,10
544,544,2,MM Sharma,3.0,0,28,0,9.33,6,5,0,0,0,0,0,0,-1,0,-1
545,545,3,R Ashwin,4.0,0,24,0,6.0,11,2,1,0,0,0,0,0,0,0,0
546,546,4,RA Jadeja,3.0,0,23,1,7.66,5,1,1,0,0,10,0,0,0,0,10
547,547,5,SK Raina,1.0,0,9,0,9.0,0,1,0,0,0,0,0,0,-1,0,-1
548,548,0,P Kumar,4.0,0,20,1,5.0,16,2,1,1,0,10,0,0,1,0,11
549,549,1,K Santokie,4.0,0,40,1,10.0,9,4,2,0,0,10,0,0,-2,0,8
550,550,2,JJ Bumrah,4.0,0,31,2,7.75,9,3,1,0,0,20,0,0,0,0,20
551,551,3,PP Ojha,4.0,0,28,0,7.0,13,1,2,2,0,0,0,0,0,0,0
552,552,4,S Gopal,4.0,0,32,2,8.0,9,2,1,0,0,20,0,0,0,0,20
553,553,0,Sandeep Sharma,3.0,0,37,0,12.33,5,5,1,1,0,0,0,0,-3,0,-3
554,554,1,BE Hendricks,4.0,0,33,1,8.25,10,3,0,3,0,10,0,0,0,0,10
555,555,2,AR Patel,4.0,0,27,1,6.75,11,4,0,1,0,10,0,0,0,0,10
556,556,3,R Dhawan,4.0,0,30,1,7.5,6,3,0,1,0,10,0,0,0,0,10
557,557,4,Shivam Sharma,4.0,0,32,0,8.0,6,1,2,0,0,0,0,0,0,0,0
558,558,0,MA Starc,4.0,0,32,1,8.0,9,5,0,1,0,10,0,0,0,0,10
559,559,1,AB Dinda,4.0,0,38,1,9.5,9,5,0,2,1,10,0,0,-1,0,9
560,560,2,AN Ahmed,4.0,0,33,1,8.25,10,4,1,0,0,10,0,0,0,0,10
561,561,3,M Muralitharan,2.0,0,19,0,9.5,3,1,1,1,0,0,0,0,-1,0,-1
562,562,4,Yuvraj Singh,2.0,0,21,0,10.5,3,1,1,0,0,0,0,0,-2,0,-2
563,563,5,YS Chahal,4.0,0,50,0,12.5,7,4,4,0,0,0,0,0,-3,0,-3
564,564,0,M Morkel,4.0,0,21,0,5.25,15,4,0,0,0,0,0,0,1,0,1
