,Unnamed: 0,0s,4s,6s,Bowling,Econ,M,NB,O,R,Rajasthan Royals Team,Unnamed: 0.1,W,WD,sumpts_w,sumpts_4w,sumpts_5w,sumpts_econ,sumpts_maid,totalpoints
558,558,8.0,4.0,3.0,TA Boult,11.25,0.0,0.0,4.0,45.0,,1,1.0,1.0,10.0,0,0,-3,0.0,7.0
559,559,8.0,4.0,4.0,I Sharma,12.25,0.0,0.0,4.0,49.0,,2,0.0,1.0,0.0,0,0,-3,0.0,-3.0
560,560,7.0,1.0,1.0,Bipul Sharma,6.5,0.0,0.0,2.0,13.0,,3,2.0,0.0,20.0,0,0,0,0.0,20.0
561,561,10.0,0.0,0.0,MC Henriques,4.0,0.0,0.0,4.0,16.0,,4,3.0,2.0,30.0,0,0,2,0.0,32.0
562,562,3.0,0.0,2.0,KV Sharma,10.0,0.0,0.0,2.0,20.0,,5,0.0,0.0,0.0,0,0,-2,0.0,-2.0
563,563,15.0,1.0,1.0,S Nadeem,4.5,1.0,0.0,4.0,18.0,,0,0.0,0.0,0.0,0,0,2,4.0,6.0
564,564,19.0,1.0,0.0,Z Khan,2.25,1.0,0.0,4.0,9.0,,1,2.0,0.0,20.0,0,0,3,4.0,27.0
565,565,5.0,2.0,1.0,GS Sandhu,8.25,0.0,0.0,4.0,33.0,,2,1.0,0.0,10.0,0,0,0,0.0,10.0
566,566,7.0,3.0,0.0,JA Morkel,7.0,0.0,0.0,3.0,21.0,,3,2.0,0.0,20.0,0,0,0,0.0,20.0
567,567,7.0,1.0,0.0,J Yadav,4.0,0.0,0.0,2.0,8.0,,4,1.0,0.0,10.0,0,0,2,0.0,12.0
568,568,7.0,2.0,1.0,Yuvraj Singh,7.66,0.0,0.0,3.0,23.0,,5,0.0,0.0,0.0,0,0,0,0.0,0.0
569,569,14.0,4.0,1.0,IC Pandey,6.75,1.0,0.0,4.0,27.0,,0,2.0,0.0,20.0,0,0,0,4.0,24.0
570,570,4.0,3.0,0.0,MM Sharma,8.5,0.0,0.0,2.0,17.0,,1,0.0,0.0,0.0,0,0,0,0.0,0.0
571,571,13.0,2.0,1.0,R Ashwin,6.0,0.0,0.0,4.0,24.0,,2,0.0,0.0,0.0,0,0,0,0.0,0.0
572,572,6.0,2.0,0.0,RA Jadeja,6.0,0.0,0.0,2.4,16.0,,3,0.0,0.0,0.0,0,0,0,0.0,0.0
573,573,1.0,1.0,0.0,SK Raina,8.0,0.0,0.0,1.0,8.0,,4,0.0,0.0,0.0,0,0,0,0.0,0.0
574,574,5.0,3.0,1.0,P Negi,9.33,0.0,0.0,3.0,28.0,,5,2.0,0.0,20.0,0,0,-1,0.0,19.0
575,575,1.0,2.0,0.0,MA Starc,10.0,0.0,0.0,2.0,20.0,,0,1.0,1.0,10.0,0,0,-2,0.0,8.0
576,576,2.0,3.0,2.0,S Aravind,15.5,0.0,0.0,2.0,31.0,,1,0.0,1.0,0.0,0,0,-3,0.0,-3.0
577,577,4.0,2.0,0.0,D Wiese,8.5,0.0,0.0,2.0,17.0,,2,1.0,0.0,10.0,0,0,0,0.0,10.0
578,578,4.0,1.0,0.0,HV Patel,6.0,0.0,0.0,2.0,12.0,,3,2.0,0.0,20.0,0,0,0,0.0,20.0
579,579,3.0,0.0,3.0,YS Chahal,12.5,0.0,0.0,2.0,25.0,,4,2.0,1.0,20.0,0,0,-3,0.0,17.0
580,580,5.0,2.0,1.0,Sandeep Sharma,10.0,0.0,0.0,2.0,20.0,,0,1.0,2.0,10.0,0,0,-2,0.0,8.0
581,581,5.0,0.0,0.0,BE Hendricks,4.5,0.0,0.0,2.0,9.0,,1,1.0,0.0,10.0,0,0,2,0.0,12.0
582,582,5.0,2.0,1.0,Anureet Singh,10.5,0.0,1.0,2.0,21.0,,2,2.0,0.0,20.0,0,0,-2,0.0,18.0
583,583,0.0,1.0,0.0,R Dhawan,9.0,0.0,0.0,2.0,18.0,,3,0.0,0.0,0.0,0,0,-1,0.0,-1.0
584,584,4.0,1.0,0.0,AR Patel,5.5,0.0,0.0,2.0,11.0,,4,2.0,0.0,20.0,0,0,1,0.0,21.0
585,585,3.0,6.0,0.0,UT Yadav,12.33,0.0,1.0,3.0,37.0,,0,0.0,0.0,0.0,0,0,-3,0.0,-3.0
586,586,11.0,1.0,1.0,M Morkel,6.75,0.0,1.0,4.0,27.0,,1,1.0,2.0,10.0,0,0,0,0.0,10.0
587,587,12.0,3.0,0.0,Shakib Al Hasan,5.5,0.0,0.0,4.0,22.0,,2,2.0,1.0,20.0,0,0,1,0.0,21.0
