POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
93,D  du Preez,2,1,0,10,10,10,13,76.92,0,0,0,0
94,Dimitri  Mascarenhas,5,4,0,39,27,9.75,39,100,0,0,4,0
95,Vinay  Kumar,11,8,3,47,12,9.4,44,106.81,0,0,4,1
96,NK  Patel,4,2,0,18,14,9,38,47.36,0,0,1,0
97,Manoj  Tiwary,2,1,0,9,9,9,13,69.23,0,0,1,0
98,Amit  Mishra,11,5,2,26,13,8.66,20,130,0,0,2,2
99,Balachandra  Akhil,6,3,1,17,9,8.5,15,113.33,0,0,1,1
100,Ishant  Sharma,11,3,1,16,9,8,13,123.07,0,0,1,1
1,Kevin  Pietersen,7,7,3,236,66,59,157,150.31,0,2,23,8
2,Owais  Shah,5,5,3,115,58,57.5,95,121.05,0,1,7,5
3,Shaun  Marsh,4,4,1,147,88,49,114,128.94,0,2,14,6
4,Jacques  Kallis,16,16,4,572,89,47.66,494,115.78,0,6,67,9
5,Sachin  Tendulkar,15,15,2,618,89,47.53,466,132.61,0,5,86,3
6,Suresh  Raina,16,16,5,520,83,47.27,364,142.85,0,4,45,22
7,Adam  Voges,9,7,3,181,45,45.25,143,126.57,0,0,15,3
8,Mahela  Jayawardene,13,13,3,439,110,43.9,298,147.31,1,1,55,11
9,Paul  Collingwood,8,7,2,203,75,40.6,156,130.12,0,3,9,13
10,Ajit  Agarkar,7,4,3,40,17,40,29,137.93,0,0,4,0
11,Mithun  Manhas,9,8,4,157,32,39.25,149,105.36,0,0,14,0
12,Sourav  Ganguly,14,14,1,493,88,37.92,419,117.66,0,4,58,15
13,Shane  Watson,6,5,0,185,60,37,114,162.28,0,2,18,9
14,Murali  Vijay,15,15,2,458,127,35.23,292,156.84,1,2,36,26
15,Bodapati  Sumanth,5,4,3,35,16,35,37,94.59,0,0,3,0
16,Irfan  Pathan,14,13,5,276,60,34.5,186,148.38,0,1,21,10
17,Tirumalasetti  Suman,14,14,5,307,78,34.11,257,119.45,0,2,23,12
18,Angelo  Mathews,14,11,4,233,65,33.28,184,126.63,0,1,18,8
19,Daniel  Vettori,3,3,2,33,19,33,27,122.22,0,0,4,0
20,Chris  Gayle,9,9,0,292,88,32.44,184,158.69,0,2,30,16
21,Subramaniam  Badrinath,16,15,4,356,55,32.36,303,117.49,0,2,41,5
22,MS  Dhoni,13,11,2,287,66,31.88,210,136.66,0,2,26,8
23,Naman  Ojha,14,14,2,377,94,31.41,285,132.28,0,2,42,15
24,JP  Duminy,7,7,2,157,42,31.4,131,119.84,0,0,13,5
25,Robin  Uthappa,16,14,2,374,68,31.16,218,171.55,0,3,21,27
26,Ravi  Bopara,10,9,1,248,77,31,214,115.88,0,2,25,3
27,Gautam  Gambhir,11,10,1,277,72,30.77,217,127.64,0,2,32,2
28,Andrew  Symonds,16,16,2,429,54,30.64,341,125.8,0,4,35,18
29,Cheteshwar  Pujara,10,6,2,122,45,30.5,115,106.08,0,0,14,3
30,Saurabh  Tiwary,16,15,1,419,61,29.92,309,135.59,0,3,29,18
31,Kumar  Sangakkara,13,12,0,357,56,29.75,257,138.91,0,2,47,5
32,Abhishek  Nayar,3,3,1,58,27,29,51,113.72,0,0,4,2
33,Rohit  Sharma,16,16,2,404,73,28.85,302,133.77,0,3,36,14
34,Brendon  McCullum,5,5,1,114,57,28.5,110,103.63,0,1,14,2
35,Rahul  Dravid,16,11,2,256,52,28.44,199,128.64,0,1,34,3
36,David  Warner,11,11,1,282,107,28.2,191,147.64,1,1,27,14
37,Abhishek  Raut,6,5,3,56,32,28,48,116.66,0,0,3,3
38,Virat  Kohli,16,13,2,307,58,27.9,212,144.81,0,1,26,12
39,Yusuf  Pathan,14,14,2,333,100,27.75,201,165.67,1,1,22,24
40,Ambati  Rayudu,14,14,1,356,55,27.38,246,144.71,0,2,34,13
41,S  Sriram,1,1,0,27,27,27,29,93.1,0,0,3,0
42,Herschelle  Gibbs,10,10,0,267,50,26.7,235,113.61,0,1,26,9
43,Manoj  Tiwary,13,11,2,237,75,26.33,186,127.41,0,2,23,5
44,Harbhajan  Singh,15,7,3,105,49,26.25,63,166.66,0,0,12,5
45,Virender  Sehwag,14,14,0,356,75,25.42,218,163.3,0,3,47,14
46,Kedar  Jadhav,5,5,2,76,50,25.33,56,135.71,0,1,7,2
47,Michael  Lumb,11,11,0,278,83,25.27,192,144.79,0,1,45,6
48,Albie  Morkel,14,11,3,198,62,24.75,131,151.14,0,1,10,13
49,Brad  Hodge,4,4,0,99,50,24.75,90,110,0,1,11,1
50,Cameron  White,7,5,3,48,21,24,33,145.45,0,0,3,3
51,Zaheer  Khan,14,4,3,24,23,24,13,184.61,0,0,3,1
52,David  Hussey,6,6,2,94,31,23.5,86,109.3,0,0,5,5
53,Ashish  Nehra,4,2,1,23,22,23,20,115,0,0,2,1
54,Kieron  Pollard,14,14,2,273,45,22.75,147,185.71,0,0,23,17
55,Wriddhiman  Saha,13,7,4,67,22,22.33,53,126.41,0,0,9,1
56,Ross  Taylor,7,7,3,88,31,22,75,117.33,0,0,2,6
57,Ryan  McLaren,10,7,4,66,40,22,69,95.65,0,0,7,0
58,Graeme  Smith,2,2,0,44,26,22,39,112.82,0,0,7,0
59,Manvinder  Bisla,10,10,0,218,75,21.8,178,122.47,0,1,27,6
60,Matthew  Hayden,16,16,0,346,93,21.62,279,124.01,0,1,37,16
61,Dinesh  Karthik,14,14,1,278,69,21.38,237,117.29,0,1,26,6
62,Yuvraj  Singh,14,14,2,255,43,21.25,199,128.14,0,0,20,14
63,Adrian  Barath,3,3,1,42,33,21,42,100,0,0,5,1
64,Aaron  Finch,1,1,0,21,21,21,21,100,0,0,0,1
65,Manish  Pandey,13,13,1,249,42,20.75,226,110.17,0,0,27,7
66,Faiz  Fazal,10,9,1,164,45,20.5,154,106.49,0,0,19,1
67,Abhishek  Jhunjhunwala,13,11,2,183,53,20.33,166,110.24,0,1,16,4
68,Shikhar  Dhawan,10,10,0,191,56,19.1,170,112.35,0,2,23,3
69,Damien  Martyn,1,1,0,19,19,19,24,79.16,0,0,1,0
70,Michael  Hussey,3,3,1,37,15,18.5,44,84.09,0,0,2,0
71,Adam  Gilchrist,16,16,0,289,54,18.06,185,156.21,0,1,31,16
72,Parthiv  Patel,4,4,0,72,57,18,79,91.13,0,1,6,2
73,Laxmi  Ratan Shukla,4,2,0,36,19,18,26,138.46,0,0,3,2
74,K  Goel,6,2,1,18,17,18,20,90,0,0,1,1
75,George  Bailey,1,1,0,18,18,18,27,66.66,0,0,2,0
76,Aditya  Dole,3,2,0,34,30,17,22,154.54,0,0,3,1
77,Rajagopal  Sathish,12,11,4,112,24,16,96,116.66,0,0,11,0
78,AB  de Villiers,7,7,0,111,45,15.85,119,93.27,0,0,7,0
79,Anirudh  Singh,5,4,0,63,40,15.75,66,95.45,0,0,6,1
80,Mohnish  Mishra,11,11,0,166,41,15.09,144,115.27,0,0,18,6
81,C  Madan,1,1,0,15,15,15,19,78.94,0,0,3,0
82,Mitchell  Marsh,3,2,0,28,15,14,30,93.33,0,0,1,1
83,Paras  Dogra,9,8,0,107,41,13.37,106,100.94,0,0,4,5
84,JM  Kemp,5,2,0,26,22,13,24,108.33,0,0,1,1
85,Mark  Boucher,5,2,1,13,11,13,10,130,0,0,0,1
86,VVS  Laxman,6,6,1,64,22,12.8,60,106.66,0,0,7,1
87,Aditya  Tare,7,4,0,50,23,12.5,36,138.88,0,0,5,3
88,Piyush  Chawla,14,6,1,62,22,12.4,60,103.33,0,0,7,0
89,Shaun  Tait,8,2,1,12,11,12,13,92.3,0,0,0,1
90,Dimitri  Mascarenhas,2,2,1,12,9,12,10,120,0,0,0,0
91,Eoin  Morgan,6,4,1,35,17,11.66,30,116.66,0,0,2,1
92,Ryan  Harris,8,5,1,45,15,11.25,39,115.38,0,0,2,2
93,Murali  Kartik,10,2,0,22,21,11,22,100,0,0,2,0
94,Brett  Lee,4,3,2,11,7,11,9,122.22,0,0,1,0
95,Moises  Henriques,1,1,0,11,11,11,5,220,0,0,2,0
96,MF  Maharoof,7,4,1,31,28,10.33,23,134.78,0,0,2,2
97,Siddharth  Trivedi,11,4,2,20,9,10,14,142.85,0,0,3,1
98,T  Thushara,4,2,1,10,8,10,11,90.9,0,0,0,0
99,Pradeep  Sangwan,8,2,1,10,6,10,14,71.42,0,0,0,0
100,Kemar  Roach,2,1,0,10,10,10,9,111.11,0,0,1,0
1,Wriddhiman  Saha,7,3,2,68,46,68,63,107.93,0,0,2,4
2,Chris  Gayle,12,12,3,608,107,67.55,332,183.13,2,3,57,44
3,Subramaniam  Badrinath,16,13,6,396,71,56.57,313,126.51,0,5,38,9
4,James  Franklin,8,5,3,107,45,53.5,78,137.17,0,0,10,2
5,Ryan  ten Doeschate,6,3,1,107,70,53.5,73,146.57,0,1,9,5
6,Manoj  Tiwary,15,14,7,359,61,51.28,325,110.46,0,1,26,14
7,Virat  Kohli,16,16,4,557,71,46.41,460,121.08,0,4,55,16
8,Johan  Botha,10,9,4,230,67,46,198,116.16,0,1,20,2
9,MS  Dhoni,16,13,4,392,70,43.55,247,158.7,0,2,25,23
10,Sachin  Tendulkar,16,16,3,553,100,42.53,488,113.31,1,2,67,5
11,Shaun  Marsh,14,13,1,504,95,42,344,146.51,0,4,52,20
12,Michael  Hussey,14,14,2,492,83,41,414,118.84,0,4,53,6
13,James  Hopes,10,8,3,196,55,39.2,158,124.05,0,2,22,3
14,Virender  Sehwag,11,11,0,424,119,38.54,240,176.66,1,2,51,18
15,Stuart  Binny,6,2,1,37,30,37,31,119.35,0,0,2,1
16,Ross  Taylor,12,11,6,181,47,36.2,152,119.07,0,0,11,7
17,Brad  Hodge,14,14,6,285,51,35.62,236,120.76,0,1,26,9
18,Paul  Valthaty,14,14,1,463,120,35.61,338,136.98,1,2,56,20
19,Jacques  Kallis,15,14,2,424,80,35.33,378,112.16,0,4,46,6
20,AB  de Villiers,16,13,4,312,65,34.66,243,128.39,0,2,21,14
21,Gautam  Gambhir,15,15,4,378,75,34.36,317,119.24,0,2,44,3
22,Harbhajan  Singh,15,8,5,103,30,34.33,71,145.07,0,0,9,6
23,Yuvraj  Singh,14,13,3,343,66,34.3,261,131.41,0,2,24,18
24,Rohit  Sharma,16,14,3,372,87,33.81,297,125.25,0,3,32,13
25,Andrew  Symonds,11,9,5,135,44,33.75,138,97.82,0,0,9,3
26,Shikhar  Dhawan,14,14,2,400,95,33.33,310,129.03,0,2,47,7
27,Shane  Watson,11,11,1,330,89,33,253,130.43,0,1,31,17
28,Ravindra  Jadeja,14,12,3,283,47,31.44,228,124.12,0,0,20,14
29,Suresh  Raina,16,16,2,438,73,31.28,325,134.76,0,4,36,17
30,Rahul  Dravid,12,12,1,343,66,31.18,314,109.23,0,1,45,2
31,Ryan  McLaren,6,4,1,90,51,30,96,93.75,0,1,7,1
32,Yusuf  Pathan,15,11,1,283,47,28.3,201,140.79,0,0,24,13
33,Tillakaratne  Dilshan,10,10,2,226,59,28.25,180,125.55,0,2,33,3
34,Ambati  Rayudu,16,16,2,395,63,28.21,350,112.85,0,4,44,9
35,Venugopal  Rao,14,14,2,336,60,28,280,120,0,1,30,13
36,Kumar  Sangakkara,13,13,0,358,65,27.53,293,122.18,0,1,44,5
37,Brendon  McCullum,13,13,0,357,81,27.46,275,129.81,0,1,35,16
38,Adam  Gilchrist,14,14,0,383,106,27.35,295,129.83,1,2,41,18
39,Manish  Pandey,10,9,0,246,59,27.33,227,108.37,0,1,28,6
40,Murali  Vijay,16,16,0,434,95,27.12,339,128.02,0,3,34,20
41,Robin  Uthappa,14,13,3,264,45,26.4,209,126.31,0,0,27,10
42,Dwaraka  Ravi Teja,12,9,2,183,60,26.14,144,127.08,0,1,17,4
43,Cameron  White,6,6,2,104,31,26,109,95.41,0,0,6,2
44,Nathan  McCullum,2,2,1,26,15,26,22,118.18,0,0,0,1
45,Bharat  Chipli,14,13,5,207,61,25.87,170,121.76,0,1,21,4
46,Dinesh  Karthik,14,13,2,282,69,25.63,220,128.18,0,1,32,7
47,Mitchell  Marsh,5,3,1,50,37,25,49,102.04,0,0,2,3
48,Sourav  Ganguly,4,3,1,50,32,25,59,84.74,0,0,3,2
49,David  Warner,13,13,0,324,77,24.92,276,117.39,0,3,34,11
50,Sunny  Sohal,11,10,0,249,62,24.9,191,130.36,0,2,25,10
