,Unnamed: 0,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
188,2,JD Unadkat,4,0,39,0,9.75,8,4,2,0,0
189,3,BA Stokes,3,0,39,0,13,4,8,0,0,0
190,4,B Laughlin,4,0,38,2,9.5,5,3,1,3,0
191,5,S Gopal,4,0,20,3,5,12,2,0,1,0
192,0,DL Chahar,4,0,30,2,7.5,9,1,1,4,0
193,1,SN Thakur,3,0,18,2,6,9,2,0,0,0
194,2,SR Watson,3,0,13,1,4.33,9,1,0,1,0
195,3,Imran Tahir,4,0,44,1,11,4,3,2,1,0
196,4,DJ Bravo,2,0,16,2,8,2,1,0,2,0
197,5,KV Sharma,1.3,0,13,2,8.66,2,2,0,0,0
198,6,RA Jadeja,1,0,6,0,6,1,0,0,0,0
199,0,AS Rajpoot,3,0,32,0,10.66,6,4,1,2,0
200,1,Mujeeb Ur Rahman,4,0,32,1,8,9,5,0,1,0
201,2,BB Sran,4,0,50,2,12.5,7,5,3,2,0
202,3,AJ Tye,4,0,30,2,7.5,9,2,1,1,1
203,4,R Ashwin,4,0,33,1,8.25,5,3,0,1,0
204,5,Yuvraj Singh,1,0,13,0,13,0,2,0,0,0
205,0,Shivam Mavi,3,0,29,0,9.66,8,4,1,2,0
206,1,AD Russell,1.5,0,31,0,16.9,2,4,2,0,0
207,2,N Rana,0.1,0,0,0,0,1,0,0,0,0
208,3,SP Narine,3,0,23,1,7.66,9,3,1,0,0
209,4,PP Chawla,2,0,24,0,12,4,2,2,0,0
210,5,Kuldeep Yadav,1,0,13,0,13,1,1,1,0,0
211,6,TK Curran,0.1,0,6,0,36,0,0,1,0,0
212,0,UT Yadav,4,0,27,1,6.75,11,3,1,0,0
213,1,CR Woakes,4,0,40,0,10,9,6,1,0,0
214,2,YS Chahal,3,0,22,2,7.33,10,1,2,1,0
215,3,Mohammed Siraj,4,0,35,0,8.75,10,1,3,2,0
216,4,Washington Sundar,4,0,31,1,7.75,6,1,2,0,0
217,5,CJ Anderson,1,0,10,1,10,4,1,1,0,0
218,0,TA Boult,4,0,33,1,8.25,6,3,1,0,0
219,1,GJ Maxwell,2,0,13,1,6.5,6,0,1,1,0
220,2,S Nadeem,2,0,27,0,13.5,3,6,0,0,0
221,3,CH Morris,4,0,43,0,10.75,7,3,3,2,0
222,4,HV Patel,3,0,33,1,11,3,2,2,0,0
223,5,R Tewatia,3,0,26,0,8.66,2,0,2,0,0
224,0,B Kumar,3,0,22,1,7.33,9,1,2,0,0
225,1,B Stanlake,4,0,38,0,9.5,12,4,2,2,0
226,2,Shakib Al Hasan,4,0,32,0,8,5,2,1,1,0
227,3,S Kaul,4,0,33,0,8.25,7,5,0,1,0
228,4,Rashid Khan,4,0,49,1,12.25,5,5,3,0,0
229,5,DJ Hooda,1,0,8,0,8,1,1,0,0,0
230,0,DL Chahar,4,1,15,3,3.75,17,1,1,0,0
231,1,SN Thakur,4,0,45,1,11.25,9,4,3,1,0
232,2,SR Watson,2,0,23,0,11.5,2,1,1,0,0
233,3,RA Jadeja,4,0,28,0,7,6,1,1,1,0
234,4,KV Sharma,3,0,30,1,10,5,0,3,0,0
235,5,DJ Bravo,3,0,37,1,12.33,5,2,3,0,0
236,0,DS Kulkarni,4,0,32,2,8,12,1,3,2,0
237,1,K Gowtham,3,0,20,0,6.66,5,2,0,0,0
238,2,JC Archer,4,0,22,3,5.5,12,3,0,0,0
239,3,JD Unadkat,4,0,31,1,7.75,9,3,1,0,0
240,4,S Gopal,2,0,30,0,15,1,2,2,1,0
241,5,BA Stokes,3,0,31,0,10.33,5,2,1,0,1
242,0,MJ McClenaghan,3,0,32,1,10.66,5,3,1,1,0
243,1,JJ Bumrah,4,0,28,2,7,10,3,0,0,1
244,2,KH Pandya,4,0,33,1,8.25,5,2,0,2,0
245,3,Mustafizur Rahman,4,0,35,1,8.75,6,3,1,0,1
246,4,M Markande,2,0,15,0,7.5,3,1,0,0,0
247,5,HH Pandya,2.4,0,25,2,9.37,4,2,1,1,0
248,0,TA Boult,3,0,21,2,7,9,3,0,1,0
249,1,Avesh Khan,4,0,36,2,9,9,5,1,0,0
250,2,LE Plunkett,4,0,17,3,4.25,12,1,0,1,0
251,3,DT Christian,3,0,17,1,5.66,8,2,0,0,0
252,4,A Mishra,4,0,33,0,8.25,7,1,1,2,0
253,5,GJ Maxwell,1,0,4,0,4,2,0,0,0,0
254,6,R Tewatia,1,0,6,0,6,1,0,0,0,0
255,0,AS Rajpoot,4,0,23,2,5.75,15,4,0,2,0
256,1,BB Sran,4,0,45,1,11.25,5,4,1,3,0
257,2,AJ Tye,4,0,25,2,6.25,11,0,1,2,0
258,3,R Ashwin,4,0,19,0,4.75,8,1,0,0,0
259,4,Mujeeb Ur Rahman,4,0,25,2,6.25,12,2,1,0,0
260,0,JJ Bumrah,4,0,25,1,6.25,9,3,0,0,0
261,1,MJ McClenaghan,3,0,22,2,7.33,11,3,0,1,0
262,2,HH Pandya,3,0,20,2,6.66,9,3,0,2,0
263,3,Mustafizur Rahman,3.4,0,18,1,4.9,12,1,1,0,0
264,4,M Markande,3,0,15,2,5,10,2,0,0,0
265,5,KH Pandya,2,0,14,0,7,3,1,0,1,0
266,0,Sandeep Sharma,3,0,9,1,3,14,1,0,1,0
267,1,Mohammad Nabi,3,0,23,1,7.66,8,4,0,0,0
268,2,Shakib Al Hasan,3,0,16,1,5.33,8,0,1,0,0
269,3,S Kaul,4,0,23,3,5.75,13,4,0,0,0
270,4,Rashid Khan,4,1,11,2,2.75,16,1,0,0,0
271,5,Basil Thampi,1.5,0,4,2,2.18,7,0,0,0,0
272,0,DL Chahar,2,0,20,0,10,4,2,1,0,0
273,1,SN Thakur,4,1,46,2,11.5,10,1,5,2,0
274,2,Harbhajan Singh,2,0,24,0,12,6,1,3,0,0
275,3,RA Jadeja,2,0,22,0,11,4,1,2,0,0
276,4,SR Watson,2,0,21,0,10.5,2,1,1,1,0
277,5,Imran Tahir,4,0,35,2,8.75,5,1,2,0,0
278,6,DJ Bravo,4,1,33,2,8.25,12,2,2,1,0
279,0,P Negi,3,0,36,1,12,7,0,5,0,0
280,1,UT Yadav,4,0,23,1,5.75,12,2,1,0,0
281,2,Washington Sundar,1,0,14,0,14,2,0,2,0,0
282,3,Mohammed Siraj,4,0,48,0,12,4,4,2,4,0
283,4,YS Chahal,4,0,26,2,6.5,11,1,1,2,1
284,5,CJ Anderson,3.4,0,58,0,15.81,2,2,6,2,0
285,0,AS Rajpoot,4,0,14,5,3.5,17,2,0,0,0
286,1,BB Sran,3,0,27,0,9,9,5,0,0,1
287,2,R Ashwin,4,0,34,0,8.5,8,1,2,0,0
288,3,MK Tiwary,1,0,10,0,10,0,0,0,1,0
289,4,Mujeeb Ur Rahman,4,0,17,1,4.25,11,0,0,1,0
290,5,AJ Tye,4,0,28,0,7,8,3,0,0,0
291,0,Sandeep Sharma,4,0,17,2,4.25,13,2,0,0,0
292,1,Mohammad Nabi,2,0,24,0,12,4,2,2,0,0
293,2,S Kaul,4,0,25,0,6.25,9,3,0,0,0
294,3,Basil Thampi,2.2,0,14,2,6,6,0,1,0,0
295,4,Rashid Khan,4,0,19,3,4.75,11,2,0,0,0
296,5,Shakib Al Hasan,3,0,18,2,6,7,0,1,0,0
297,0,PP Chawla,4,0,33,1,8.25,10,4,1,0,0
298,1,Kuldeep Yadav,2,0,22,0,11,2,0,2,0,0
299,2,Shivam Mavi,4,0,58,1,14.5,8,3,6,1,1
300,3,SP Narine,3,0,35,0,11.66,4,1,3,0,0
301,4,MG Johnson,4,0,42,0,10.5,9,4,3,0,0
302,5,AD Russell,3,0,28,1,9.33,6,3,1,1,0
303,0,TA Boult,4,0,44,2,11,9,4,3,2,0
304,1,GJ Maxwell,2,0,22,2,11,3,2,1,0,0
305,2,Avesh Khan,4,0,29,2,7.25,12,2,2,1,0
306,3,LE Plunkett,4,0,24,0,6,9,1,1,0,0
307,4,A Mishra,4,1,23,2,5.75,10,2,0,0,0
308,5,V Shankar,1,0,10,0,10,1,0,1,0,0
309,6,R Tewatia,1,0,11,0,11,3,1,1,0,0
310,0,MJ McClenaghan,4,0,26,2,6.5,10,2,1,0,0
311,1,JJ Bumrah,4,0,25,0,6.25,12,2,1,1,0
312,2,HH Pandya,4,0,39,1,9.75,8,4,2,0,0
313,3,KH Pandya,4,0,32,2,8,9,1,2,1,0
314,4,M Markande,3,0,30,0,10,5,2,2,1,0
315,5,BCJ Cutting,1,0,14,0,14,1,1,1,1,0
316,0,DL Chahar,2.1,0,19,0,8.76,6,3,0,1,0
317,1,SN Thakur,4,0,38,0,9.5,9,5,1,1,0
318,2,SR Watson,4,0,41,0,10.25,8,2,3,1,0
319,3,Harbhajan Singh,3.5,0,20,1,5.21,7,1,0,0,0
320,4,Imran Tahir,2.4,0,26,0,9.75,5,1,2,1,0
321,5,DJ Bravo,3,0,21,1,7,5,2,0,1,0
322,0,K Gowtham,4,0,18,2,4.5,10,0,0,0,0
323,1,DS Kulkarni,2,0,20,0,10,4,4,0,0,0
324,2,JC Archer,4,0,26,3,6.5,9,2,1,0,0
325,3,JD Unadkat,3,0,33,1,11,4,3,1,0,0
326,4,IS Sodhi,3,0,25,1,8.33,3,3,0,0,0
327,5,BA Stokes,3,0,20,0,6.66,7,2,0,0,0
328,6,MK Lomror,1,0,8,0,8,1,1,0,0,0
329,0,Sandeep Sharma,4,0,15,1,3.75,14,1,0,0,0
330,1,Shakib Al Hasan,4,0,30,0,7.5,4,2,0,0,0
331,2,Basil Thampi,2,0,26,1,13,2,3,1,0,0
332,3,S Kaul,4,0,23,2,5.75,8,1,0,0,0
333,4,Rashid Khan,4,0,31,1,7.75,4,1,1,0,0
334,5,YK Pathan,2,0,14,1,7,2,1,0,0,0
335,0,PP Chawla,3,0,22,0,7.33,10,3,1,0,0
336,1,SP Narine,4,0,38,0,9.5,10,4,2,0,0
337,2,MG Johnson,3,0,38,0,12.66,3,2,3,1,0
338,3,Shivam Mavi,3,0,21,0,7,7,2,0,1,0
339,4,Kuldeep Yadav,4,0,20,1,5,11,0,1,0,0
340,5,AD Russell,3,0,31,3,10.33,4,1,2,2,0
